CITY,ELEV,LAT,LON,POP
Охрид,695,41.1231,20.816,42033
Битола,576,41.0297,21.3292,122173
Струга,693,41.1778,20.6783,16559
Скопје,240,41.9981,21.4254,546824
Прилеп,620,41.3441,21.5528,76768
Куманово,340,42.1323,21.7257,70842
Струмица,233,41.4378,22.6427,35311
Гевгелија,60,41.1452,22.4997,15685
КриваПаланка,620,42.2058,22.3308,14558
Гостивар,683,41.8026,20.9089,35847
TETOVO,468,42.0069,20.9715,52915
МакедонскиБрод,550,41.5133,21.2174,7141
Кавадарци,150,41.4329,22.0089,38741
ВЕЛЕС,206,41.7165,21.7723,43716
Дебар,625,41.5198,20.5289,14561
Берово,986,41.7061,22.8552,7002
Делчево,640,41.9709,22.7740,11500
Кичево,630,41.5129,20.9525,27076
Кратово,600,42.0800,22.1803,6924
Крушево,1350,41.3706,21.2502,9684
Неготино,150,41.4829,22.0923,13284
Радовиш,380, 41.6395,22.4679,16223
Ресен,885,41.0903,21.0133,8748
Пробиштип,552,41.9948,22.1877,10826
Пехчево,1010,41.7621,22.8865,3237
Штип,300,41.7464,22.1997,43652
Виница,640,41.8833,22.5081,10863
